#city;country;lat;lng;pop
Zhilinda;Russia;70.1337;114;10
Itaberai;Brazil;-16.02;-49.81;18710
Chilecito;Argentina;-29.1655;-67.5;20343
Leticia;Colombia;-4.22002;-69.94;46012
Lisala;Congo (Kinshasa);2.14001;21.51;64270
Ostersund;Sweden;63.1833;14.65;44559
Ithaca;United States of America;42.4406;-76.4969;45544
Menongue;Angola;-14.6666;17.7;13030
Villa Constitucion;Argentina;-33.23;-60.35;30282
Uttaradit;Thailand;17.6316;100.097;67471
Serpukhov;Russia;54.9304;37.43;131871
Timmiarmiut;Greenland;62.5333;-42.2167;10
Qom;Iran;34.65;50.95;933478
Qazvin;Iran;36.27;50;399093
Laguna;Brazil;-28.48;-48.78;32532
Sawahlunto;Indonesia;-0.666278;100.783;50354
Canelones;Uruguay;-34.538;-56.284;19698
Tikrit;Iraq;34.597;43.677;49534
Treinta y Tres;Uruguay;-33.23;-54.38;26668
Pietermaritzburg;South Africa;-29.61;30.39;620898
Volgodonsk;Russia;47.51;42.1599;122434
Sisaket;Thailand;15.1203;104.33;42856
Cochabamba;Bolivia;-17.41;-66.17;804138
Kahemba;Congo (Kinshasa);-7.28293;19;45644
Linchuan;China;27.9703;116.36;241104
Bryansk;Russia;53.26;34.43;426510
Crato;Brazil;-7.2296;-39.42;164149
Peterborough;United Kingdom;52.5804;-0.249995;140141
Osnabruck;Germany;52.2804;8.04999;198865
Hirosaki;Japan;40.57;140.47;171700
Wukari;Nigeria;7.87041;9.78001;74380
Hopedale;Canada;55.45;-60.2167;442
Numan;Nigeria;9.46044;12.04;45173
Kalabo;Zambia;-14.9896;22.68;7731
Sakata;Japan;38.92;139.85;86507
Hoonah;United States of America;58.1154;-135.439;361
Sennar;Sudan;13.55;33.6;103308
Abha;Saudi Arabia;18.2301;42.5001;207802
Ayapel;Colombia;8.33041;-75.15;23120
Kitchener;Canada;43.45;-80.5;413056
Shamva;Zimbabwe;-17.3196;31.57;8521
Pemba;Mozambique;-12.983;40.5323;109690
Medea;Algeria;36.2704;2.77;145863
Orumiyeh;Iran;37.53;45;577307
Omchak;Russia;61.6333;147.917;10
Moshi;Tanzania;-3.3396;37.34;463873
Malakal;South Sudan;9.5369;31.656;160765
Xapeco;Brazil;-27.1;-52.64;154794
Seville;Spain;37.405;-5.98001;957533
Enterprise;United States of America;31.3278;-85.844;23388
Koko;Nigeria;11.4232;4.51697;25792
Truc Giang;Vietnam;10.235;106.375;59442
Santiago Ixcuintla;Mexico;21.82;-105.22;17077
George Town;Cayman Islands;19.2804;-81.33;2770
Lobito;Angola;-12.37;13.5412;170733
Dudinka;Russia;69.4182;86.225;22913
Singleton;Australia;-32.5695;151.16;8340
Nzerekore;Guinea;7.76;-8.82999;150424
Moyeni;Lesotho;-30.411;27.716;24130
Los Blancos;Argentina;-23.5996;-62.6;1145
Pierre;United States of America;44.3683;-100.351;13734
Acarau;Brazil;-2.88961;-40.12;21024
Chumbicha;Argentina;-28.8666;-66.2333;2572
Bentiu;South Sudan;9.23333;29.8333;7653
In Amguel;Algeria;23.6939;5.16474;3030
Nakhon Phanom;Thailand;17.3945;104.769;44986
Vilnius;Lithuania;54.6834;25.3166;524697
Sibiti;Congo (Brazzaville);-3.68961;13.35;20950
Nurnberg;Germany;49.45;11.08;618270
Weipa;Australia;-12.6666;141.867;2830
Pointe-Noire;Congo (Brazzaville);-4.77001;11.88;602440
Racine;United States of America;42.7277;-87.8118;105458
Ar Ramadi;Iraq;33.42;43.3;284830
San Ignacio;Bolivia;-16.3696;-60.96;24480
Mariehamn;Aland;60.097;19.949;10682
Rawalpindi;Pakistan;33.6;73.04;1800550
Bar Harbor;United States of America;44.3879;-68.2044;4483
Kuantan;Malaysia;3.82996;103.32;320462
Keflavik;Iceland;64.0166;-22.5666;7377
Springs;South Africa;-26.2696;28.43;211238
Oviedo;Spain;43.3505;-5.82999;223524
Roanne;France;46.0333;4.06667;56577
Balsas;Brazil;-7.52002;-46.05;39761
Krasnodar;Russia;45.02;39;601191
Itaituba;Brazil;-4.25862;-55.925;78532
Tikhoretsk;Russia;45.8531;40.1377;62368
Feyzabad;Afghanistan;37.1298;70.5792;52490
Bishop;United States of America;37.364;-118.394;4249
Baishan;China;41.9;126.43;330000
Nueve de Julio;Argentina;-35.446;-60.89;26716
Battambang;Cambodia;13.1;103.2;152608
Haapsalu;Estonia;58.9431;23.5414;11805
Richland;United States of America;46.2918;-119.291;39940
Pechora;Russia;65.1587;57.2087;45957
Hyeson;North Korea;41.3927;128.193;227461
Dublin;Ireland;53.3331;-6.24891;1013988
Dortmund;Germany;51.53;7.45003;588462
Qoqon;Uzbekistan;40.5404;70.94;271250
Chibemba;Angola;-15.7496;14.08;1502
Kirksville;United States of America;40.1937;-92.5828;18083
Nizhnyaya Tura;Russia;58.6436;59.7983;56084
Campo Maior;Brazil;-4.82003;-42.18;24089
Xinyi;China;34.38;118.35;962656
La Vega;Dominican Republic;19.2166;-70.5166;132811
Agen;France;44.2004;0.633336;46295
Madinat ath Thawrah;Syria;35.8367;38.5481;85590
Thargomindah;Australia;-28;143.817;203
Hiroshima;Japan;34.3878;132.443;1594420
Stockholm;Sweden;59.3508;18.0973;1258654
's-Hertogenbosch;Netherlands;51.6833;5.31666;134520
Popondetta;Papua New Guinea;-8.76919;148.248;25192
Shalaurova;Russia;73.2204;143.183;10
Port Augusta;Australia;-32.49;137.77;11186
Biarritz;France;43.4733;-1.56159;89268
Toowoomba;Australia;-27.5645;151.956;86711
Sioux City;United States of America;42.5004;-96.4;87090
Redding;United States of America;40.587;-122.391;93871
Campinas;Brazil;-22.9;-47.1;1911277
Osaka;Japan;34.75;135.46;6943206
Yining;China;43.9;81.35;403489
Huntsville;United States of America;30.7238;-95.5506;34444
Nanded;India;19.17;77.3;587136
Kokkola;Finland;63.8333;23.1167;46714
Marzuq;Libya;25.9044;13.8972;49401
Ankang;China;32.68;109.02;1025000
Perm;Russia;58;56.25;924154
Chapaev;Kazakhstan;50.1915;51.1449;3515
Aqsay;Kazakhstan;51.1714;53.0349;30404
Dhaka;Bangladesh;23.7231;90.4086;9899167
Courtenay;Canada;49.6833;-125;28946
Saint John;Canada;45.267;-66.0767;71153
Cafayate;Argentina;-26.0829;-65.9666;9478
Penzance;United Kingdom;50.1337;-5.55003;18150
Kearney;United States of America;40.7007;-99.0811;30155
Gander;Canada;48.95;-54.55;3345
Ilebo;Congo (Kinshasa);-4.3196;20.61;71125
Quetzaltenango;Guatemala;14.83;-91.52;399983
Cruzeiro do Sul;Brazil;-7.62999;-72.67;56862
Belmopan;Belize;17.252;-88.7671;14300
Azogues;Ecuador;-2.74;-78.84;51982
Serowe;Botswana;-22.39;26.71;47996
Morogoro;Tanzania;-6.82001;37.66;242718
Akureyi;Iceland;65.6666;-18.1;14754
Lamphun;Thailand;18.503;99.074;14030
Dalhart;United States of America;36.0608;-102.519;6763
Novoaltaysk;Russia;53.3993;83.9588;76218
Marka;Somalia;1.77657;44.8533;1958
Brochet;Canada;57.8832;-101.667;278
Doctor Pedro P. Pena;Argentina;-22.48;-62.3;6143
Tailai;China;46.3904;123.41;71307
Tucson;United States of America;32.205;-110.89;670953
Yurga;Russia;55.7258;84.8854;72495
Maringa;Brazil;-23.4095;-51.93;320029
Isla Mujeres;Mexico;21.2084;-86.7115;12491
Kigoma;Tanzania;-4.87961;29.61;164268
La Palma;Panama;8.39818;-78.1402;1845
King Sejong Station;Antarctica;-62.2249;-58.7716;53
Enid;United States of America;36.3955;-97.8781;45963
Voronezh;Russia;51.73;39.27;569734
Taza;Morocco;34.2204;-4.01997;170761
Killarney;Ireland;52.0504;-9.51666;9601
Estancia;Brazil;-11.2696;-37.45;50690
Karlskrona;Sweden;56.203;15.296;35212
Gottingen;Germany;51.5204;9.92;130784
Borovichi;Russia;58.3978;33.8974;57229
Orsha;Belarus;54.5153;30.4215;130276
Mohembo;Botswana;-18.2996;21.8;757
Basel;Switzerland;47.5804;7.59002;500317
Burwash Landing;Canada;61.3504;-139;73
Nantong;China;32.0304;120.825;806625
Viet Tri;Vietnam;21.3304;105.43;305144
Dryden;Canada;49.7833;-92.8333;7862
Ravensthorpe;Australia;-33.5829;120.033;639
Changting;China;25.867;116.317;87458
Jiaozuo;China;35.25;113.22;687270
Zaghouan;Tunisia;36.4;10.147;16911
Damaturu;Nigeria;11.749;11.966;255895
Cottica;Suriname;3.85001;-54.2333;24605
La Ligua;Chile;-32.46;-71.24;25761
Southampton;United Kingdom;50.9;-1.39998;384417
Sabaya;Bolivia;-19.0163;-68.3833;573
Wallace;United States of America;47.4742;-115.927;1028
Mayda Shahr;Afghanistan;34.45;68.8;35008
Angeles;Philippines;15.1451;120.545;314493
Worcester;South Africa;-33.64;19.4399;109200
Ha Tinh;Vietnam;18.3338;105.9;165396
Teniente Rodolfo Marsh Station;Antarctica;-62.1827;-58.9077;115
Dondo;Angola;-9.69002;14.43;2353
Tumby Bay;Australia;-34.3829;136.083;1791
Nguigmi;Niger;14.2532;13.1108;15318
Kitami;Japan;43.8504;143.9;103971
Red Lake;Canada;51.0337;-93.8333;1765
Kingstown;Saint Vincent and the Grenadines;13.1483;-61.2121;37001
Nain;Canada;56.5474;-61.686;1151
Baoshan;China;25.12;99.15;925000
Bingol;Turkey;38.885;40.498;80568
Kinshasa;Congo (Kinshasa);-4.32972;15.315;6704351
Tarapoto;Peru;-6.50995;-76.48;936
Moanda;Gabon;-1.5655;13.2;28633
Huanta;Peru;-12.9496;-74.25;15534
Severnyy;Russia;67.6083;64.1233;11562
Hailar;China;49.2;119.7;221118
Honolulu;United States of America;21.3069;-157.858;578828
Iqaluit;Canada;63.7505;-68.5002;6124
Vicecomodoro Marambio Station;Antarctica;-64.2329;-56.65;102
Garca;Brazil;-22.22;-49.66;38460
Lucknow;India;26.855;80.915;2583505
Guanambi;Brazil;-14.2296;-42.79;45730
Kashmar;Iran;35.1814;58.4515;126643
Logrono;Spain;42.4704;-2.42999;123918
Irati;Brazil;-25.47;-50.66;41602
Moatize;Mozambique;-16.0995;33.95;40536
Capanema;Brazil;-1.19002;-47.18;45831
Teofilo Otoni;Brazil;-17.87;-41.5;86865
Palmerston North;New Zealand;-40.3527;175.607;66551
Nanaimo;Canada;49.146;-123.934;82698
Apucarana;Brazil;-23.55;-51.47;102577
Puri;India;19.8204;85.9;201026
Bhisho;South Africa;-32.87;27.39;149142
Kharkiv;Ukraine;50;36.25;1338063
Hyderabad;Pakistan;25.38;68.375;1422665
Vinh;Vietnam;18.7;105.68;514426
Rinconada;Argentina;-22.4329;-66.1666;6209
Yibin;China;28.77;104.57;572055
Chalkida;Greece;38.464;23.6124;63200
Kohima;India;25.667;94.1166;92113
Tuymazy;Russia;54.6048;53.6943;61826
Tindouf;Algeria;27.6742;-8.14778;18270
Wau;South Sudan;7.69998;27.99;99158
Coburg;Germany;50.2666;10.9666;51477
Brugge;Belgium;51.2204;3.23002;131589
Tiksi;Russia;71.6269;128.835;5700
Chongju;North Korea;39.6813;125.216;85417
Kitwe;Zambia;-12.81;28.22;402907
Xingyi;China;25.0904;104.89;539536
Ash Shihr;Yemen;14.7593;49.6092;54274
Caxias;Brazil;-4.833;-43.35;134640
Korsakov;Russia;46.6424;142.777;33165
Otsu;Japan;35.0064;135.867;437802
Moab;United States of America;38.5737;-109.549;5309
Banjul;The Gambia;13.4539;-16.5917;38841
Manpo;North Korea;41.1454;126.296;186827
Zyryanovsk;Kazakhstan;49.7453;84.2548;47293
Safford;United States of America;32.8338;-109.707;9746
Colider;Brazil;-10.8173;-55.4506;27139
Graz;Austria;47.0778;15.41;242780
Nanyuki;Kenya;0.020398;37.06;34342
Anxi;China;40.5004;95.8;17886
Osh;Kyrgyzstan;40.5404;72.79;295638
Longyan;China;25.1804;117.03;367896
Tuban;Indonesia;-6.89954;112.05;76242
Oita;Japan;33.2432;131.598;412100
Uyo;Nigeria;5.008;7.85;495756
Ayakoz;Kazakhstan;47.9647;80.4297;39670
Dhuusa Mareeb;Somalia;5.742;46.508;447
Cojutepeque;El Salvador;13.7167;-88.9333;48411
Fond du Lac;United States of America;43.7734;-88.4469;48079
Aqsu;Kazakhstan;52.4502;71.9597;8543
Beziers;France;43.3505;3.20997;77759
Showa Station;Antarctica;-69.0304;39.7461;50
Rimouski;Canada;48.4337;-68.5167;35584
Idlib;Syria;35.9297;36.6317;115785
Zilina;Slovakia;49.2198;18.7494;86805
Korogwe;Tanzania;-5.08957;38.54;47000
Appenzell;Switzerland;47.3333;9.4167;5649
San Martín Station;Antarctica;-68.1163;-67.1;19
Tocantinopolis;Brazil;-6.31958;-47.42;8750
Wuhan;China;30.58;114.27;5713603
Queanbeyan;Australia;-35.3546;149.211;32408
Chincha Alta;Peru;-13.4196;-76.14;138608
Moncton;Canada;46.0833;-64.7667;89051
Fuyu;China;45.1804;124.82;247804
Krasino;Russia;70.7314;54.4208;10
Orangeville;Canada;43.9171;-80.0833;30812
Port-Gentil;Gabon;-0.720022;8.78002;112999
Mednogorsk;Russia;51.4191;57.5788;27274
St. Charles;United States of America;38.6031;-76.9389;52792
Sibenik;Croatia;43.7272;15.9058;37112
Novi Sad;Serbia;45.2504;19.8499;220428
Grand Bassam;Ivory Coast;5.20039;-3.74999;61226
Wuwei;China;37.928;102.641;493092
Bayan Obo;China;41.7676;109.971;27476
Okahandja;Namibia;-21.9796;16.91;19691
Sonbong;North Korea;42.3377;130.403;44097
Komsomolets;Kazakhstan;53.7506;62.0502;5693
Ostrava;Czech Republic;49.8304;18.25;396025
Aurora;United States of America;39.6959;-104.808;431966
David;Panama;8.43332;-82.4333;96448
Botucatu;Brazil;-22.8796;-48.45;94938
Puerto Armuelles;Panama;8.28002;-82.87;22971
Piggs Peak;Swaziland;-25.961;31.247;5750
Jacksonville;United States of America;34.7543;-77.4306;72651
Rreshen;Albania;41.7833;19.8167;10064
Sanford;United States of America;28.79;-81.28;189374
Coalcoman;Mexico;18.7804;-103.15;9687
Young;Australia;-34.3096;148.29;6422
Keetmanshoop;Namibia;-26.5739;18.13;16823
Volkhov;Russia;59.9291;32.3387;45366
Mongomo;Equatorial Guinea;1.63368;11.3166;6476
Abbotsford;Canada;49.0504;-122.3;151683
Haiya;Sudan;18.3362;36.3842;17409
Cabo San Lucas;Mexico;22.8928;-109.905;39492
Fort Wayne;United States of America;41.0804;-85.13;264793
Koyukuk;United States of America;64.8803;-157.701;101
Esteli;Nicaragua;13.09;-86.36;102130
Shamattawa;Canada;55.8504;-92.0833;870
Qitaihe;China;45.8;130.85;397825
Grants Pass;United States of America;42.4395;-123.327;36690
Tomah;United States of America;43.9851;-90.5039;10796
Ugolnyye Kopi;Russia;64.7333;177.7;3367
Magta Lajar;Mauritania;17.0004;-13.5;10
La Paz;Mexico;24.14;-110.32;180626
Bakal;Russia;54.9459;58.7959;24160
Muriae;Brazil;-21.13;-42.39;76728
Linden;Guyana;5.99001;-58.27;28041
Manama;Bahrain;26.2361;50.5831;360697
Shannon;Ireland;52.7038;-8.86415;8143
Panzhihua;China;26.55;101.73;446298
Kununurra;Australia;-15.7666;128.733;5229
Maxixe;Mozambique;-23.866;35.3885;112881
Hami;China;42.827;93.515;218960
Lvov;Ukraine;49.835;24.03;760841
Kirsehir;Turkey;39.142;34.171;94336
Jinxi;China;40.7503;120.83;1369623
Vladimir;Russia;56.13;40.4099;314336
El Alamein;Egypt;30.8171;28.95;4938
Wangdue Prodrang;Bhutan;27.4333;89.9167;5000
May Pen;Jamaica;17.9666;-77.2333;89948
Svea Station;Antarctica;-74.5829;-11.2167;5
Tumen;China;42.97;129.82;89220
Moss;Norway;59.437;10.6692;35696
Hodrogo;Mongolia;48.9664;96.7833;10
Shah Alam;Malaysia;3.0667;101.55;481654
Cody;United States of America;44.5232;-109.057;8976
Santos;Brazil;-23.9537;-46.3329;1060201
Uray;Russia;60.1401;64.7548;20361
Ponta Pora;Brazil;-22.53;-55.73;75047
Karimnagar;India;18.4604;79.11;258498
Rio Tercero;Argentina;-32.1796;-64.12;38049
Changchun;China;43.865;125.34;2860210
San Diego;United States of America;32.82;-117.18;1938570
Masterton;New Zealand;-40.9439;175.646;16720
Grand Island;United States of America;40.9223;-98.358;45208
Amol;Iran;36.4713;52.3633;210516
Coro;Venezuela;11.42;-69.68;184098
Yirga Alem;Ethiopia;6.75043;38.41;36292
Ft. Worth;United States of America;32.74;-97.34;1090830
Bauchi;Nigeria;10.3104;9.84001;244350
Hyderabad;India;17.4;78.4799;4986908
Port-of-Spain;Trinidad and Tobago;10.652;-61.517;171982
Mugla;Turkey;37.2164;28.3639;44488
Jaque;Panama;7.51896;-78.166;955
Aginskoye;Russia;51.1031;114.523;11491
Rajshahi;Bangladesh;24.375;88.605;755066
Toledo;Spain;39.867;-4.01672;53878
Mandera;Somalia;3.94044;41.86;44480
Madrid;Spain;40.4;-3.68335;2808718
Battle Creek;United States of America;42.3211;-85.1797;62454
Rajbiraj;Nepal;26.5333;86.7333;33061
Zhubei;Taiwan;24.8333;121.012;174003
Toktogul;Kyrgyzstan;41.8826;72.9372;22725
Lansdowne House;Canada;52.2166;-87.8833;120
Gera;Germany;50.8704;12.07;103857
Teniente Jubany Station;Antarctica;-62.2241;-58.6505;40
Taree;Australia;-31.8976;152.462;30131
Boston;United States of America;42.33;-71.07;2528070
Brusque;Brazil;-27.13;-48.93;81163
Los Angeles;Chile;-37.46;-72.36;135334
Pasay City;Philippines;14.5504;121;403064
Uba;Brazil;-21.1196;-42.95;81698
Jerusalem;Israel;31.7784;35.2066;915150
Spokane;United States of America;47.67;-117.42;272483
Az Zahran;Saudi Arabia;26.2914;50.1583;54373
Saskylakh;Russia;71.9166;114.083;1920
Brus Laguna;Honduras;15.7504;-84.48;4067
Woomera;Australia;-31.1496;136.8;450
Panaji;India;15.492;73.818;65586
Monteria;Colombia;8.75754;-75.89;273809
Goya;Argentina;-29.14;-59.27;71274
Fort McMurray;Canada;56.7333;-111.383;21863
Belem;Brazil;-1.45;-48.48;1787368
Bay City;United States of America;43.5945;-83.8889;51558
Mbeya;Tanzania;-8.89001;33.43;261855
Wales;United States of America;65.6096;-168.088;99
Sault Ste. Marie;United States of America;46.4953;-84.3453;50173
Jingmen;China;31.0304;112.1;400000
Bermejo;Bolivia;-22.7296;-64.35;36544
Arctic Bay;Canada;73.0333;-85.1666;604
Galena;United States of America;64.7333;-156.927;485
Lincoln;Argentina;-34.88;-61.5399;19924
Mirny Station;Antarctica;-66.5755;93.0063;114
Chitre;Panama;7.97002;-80.42;44024
Sopur;India;34.3;74.4667;60725
Tarabuco;Bolivia;-19.18;-64.92;2364
Yevpatoriya;Ukraine;45.1969;33.3631;90588
Coatzacoalcos;Mexico;18.1204;-94.42;259001
Kaspiysk;Russia;42.8747;47.6244;61451
Thakhek;Laos;17.4112;104.836;51564
Mikhaylova;Russia;75.095;86.9824;10
Witu;Kenya;-2.37961;40.43;3945
Tabora;Tanzania;-5.02002;32.8;145893
New Taipei;Taiwan;25.0128;121.465;2821870
Haka;Myanmar;22.65;93.6167;20000
Guangshui;China;31.6204;114;145885
Al Mukalla;Yemen;14.5412;49.1259;194080
Tororo;Uganda;0.710382;34.17;96850
Xuanhua;China;40.5944;115.024;391583
Amherst;Canada;45.8166;-64.2166;8631
Monte Cristi;Dominican Republic;19.867;-71.65;16852
Remanso;Brazil;-9.59958;-42.11;37945
Sodo;Ethiopia;6.9;37.75;65737
Krabi;Thailand;8.052;98.912;31219
Man;Ivory Coast;7.40041;-7.54999;143157
Vigan;Philippines;17.5747;120.387;48545
Kaltukatjara;Australia;-25.7884;128.997;355
Dalandzadgad;Mongolia;43.5836;104.44;13491
Dease Lake;Canada;58.4503;-130.033;303
Fort Collins;United States of America;40.5607;-105.059;178818
Pattani;Thailand;6.864;101.25;96815
Lebu;Chile;-37.6096;-73.65;16624
Marion;United States of America;40.5583;-85.6592;34249
Tanjungkarang-Telubketung;Indonesia;-5.4496;105.3;881801
Iligan;Philippines;8.17124;124.215;464599
La Libertad;Guatemala;16.7804;-90.12;8584
Portalegre;Portugal;39.29;-7.423;15581
Huatabampo;Mexico;26.8304;-109.63;27744
Kimba;Australia;-33.1496;136.433;636
Antsohihy;Madagascar;-14.8661;47.9834;15258
Gejiu;China;23.38;103.15;142620
Metairie;United States of America;29.9839;-90.1528;270171
Quito;Ecuador;-0.214988;-78.5001;1550407
Aurangabad;India;24.7704;84.38;95929
Kilifi;Kenya;-3.60961;39.85;63228
Segou;Mali;13.44;-6.26002;107752
Putina;Peru;-15.47;-69.43;8118
Kaabong;Uganda;3.52039;34.12;1137
Qeqertasuaq;Greenland;69.2442;-53.5652;7
Lawrence;United States of America;38.9598;-95.2552;88020
Quipungo;Angola;-14.8295;14.55;186
Natara;Russia;68.4106;123.925;10
Sitapur;India;27.63;80.75;164435
Tara;Russia;56.8982;74.3782;24130
Bellingham;United States of America;48.7601;-122.487;86565
Dubuque;United States of America;42.5009;-90.6645;59834
Gibraltar;Gibraltar;36.1324;-5.37807;106813
Powell;United States of America;44.7587;-108.758;6054
Nzega;Tanzania;-4.20963;33.18;18325
Lansing;United States of America;42.7335;-84.5467;198821
Diyarbakir;Turkey;37.9204;40.23;640586
Filadelfia;Paraguay;-22.34;-60.03;9259
Manacapuru;Brazil;-3.28958;-60.62;55780
Buur Gaabo;Somalia;-1.20087;41.852;3096
Ujjain;India;23.1904;75.79;485348
Ourinhos;Brazil;-22.97;-49.87;96994
